Stock,Date,Close
META,08-18-2014,$74.59
META,08-15-2014,$73.63
META,08-14-2014,$74.296
META,08-13-2014,$73.77
META,08-12-2014,$72.83
META,08-11-2014,$73.44
META,08-08-2014,$73.06
META,08-07-2014,$73.17
META,08-06-2014,$72.47
META,08-05-2014,$72.69
META,08-04-2014,$73.51
META,08-01-2014,$72.36
META,07-31-2014,$72.65
META,07-30-2014,$74.677
META,07-29-2014,$73.71
META,07-28-2014,$74.92
META,07-25-2014,$75.19
META,07-24-2014,$74.98
META,07-23-2014,$71.29
META,07-22-2014,$69.27
META,07-21-2014,$69.40
META,07-18-2014,$68.4199
META,07-17-2014,$66.4099
META,07-16-2014,$67.66
META,07-15-2014,$67.165
META,07-14-2014,$67.90
META,07-11-2014,$66.34
META,07-10-2014,$64.8725
META,07-09-2014,$64.97
META,07-08-2014,$62.76
META,07-07-2014,$65.29
META,07-03-2014,$66.29
META,07-02-2014,$66.45
META,07-01-2014,$68.06
META,06-30-2014,$67.29
META,06-27-2014,$67.60
META,06-26-2014,$67.13
META,06-25-2014,$67.44
META,06-24-2014,$65.72
META,06-23-2014,$65.37
META,06-20-2014,$64.50
META,06-19-2014,$64.3415
META,06-18-2014,$65.60
META,06-17-2014,$64.40
META,06-16-2014,$64.19
META,06-13-2014,$64.50
META,06-12-2014,$64.2901
META,06-11-2014,$65.781
META,06-10-2014,$65.77
META,06-09-2014,$62.88
META,06-06-2014,$62.50
META,06-05-2014,$63.186
META,06-04-2014,$63.34
META,06-03-2014,$62.87
META,06-02-2014,$63.08
META,05-30-2014,$63.30
META,05-29-2014,$63.83
META,05-28-2014,$63.51
META,05-27-2014,$63.48
META,05-23-2014,$61.351
META,05-22-2014,$60.52
META,05-21-2014,$60.49
META,05-20-2014,$58.56
META,05-19-2014,$59.21
META,05-16-2014,$58.0199
META,05-15-2014,$57.919
META,05-14-2014,$59.23
META,05-13-2014,$59.83
META,05-12-2014,$59.83
META,05-09-2014,$57.24
META,05-08-2014,$56.76
META,05-07-2014,$57.39
META,05-06-2014,$58.53
META,05-05-2014,$61.22
META,05-02-2014,$60.46
META,05-01-2014,$61.15
META,04-30-2014,$59.78
META,04-29-2014,$58.15
META,04-28-2014,$56.14
META,04-25-2014,$57.71
META,04-24-2014,$60.87
META,04-23-2014,$61.36
META,04-22-2014,$63.0301
META,04-21-2014,$61.24
META,04-17-2014,$58.94
META,04-16-2014,$59.72
META,04-15-2014,$59.09
META,04-14-2014,$58.89
META,04-11-2014,$58.53
META,04-10-2014,$59.16
META,04-09-2014,$62.41
META,04-08-2014,$58.1901
META,04-07-2014,$56.95
META,04-04-2014,$56.749
META,04-03-2014,$59.49
META,04-02-2014,$62.72
META,04-01-2014,$62.62
META,03-31-2014,$60.24
META,03-28-2014,$60.01
META,03-27-2014,$60.97
META,03-26-2014,$60.385
META,03-25-2014,$64.89
META,03-24-2014,$64.10
META,03-21-2014,$67.24
META,03-20-2014,$66.97
META,03-19-2014,$68.24
META,03-18-2014,$69.19
META,03-17-2014,$68.7399
META,03-14-2014,$67.72
META,03-13-2014,$68.83
META,03-12-2014,$70.8799
META,03-11-2014,$70.10
META,03-10-2014,$72.03
META,03-07-2014,$69.80
META,03-06-2014,$70.84
META,03-05-2014,$71.57
META,03-04-2014,$68.80
META,03-03-2014,$67.41
META,02-28-2014,$68.46
META,02-27-2014,$68.94
META,02-26-2014,$69.26
META,02-25-2014,$69.85
META,02-24-2014,$70.78
META,02-21-2014,$68.59
META,02-20-2014,$69.63
META,02-19-2014,$68.06
META,02-18-2014,$67.30
META,02-14-2014,$67.09
META,02-13-2014,$67.33
META,02-12-2014,$64.45
META,02-11-2014,$64.851
META,02-10-2014,$63.548
META,02-07-2014,$64.32
META,02-06-2014,$62.16
META,02-05-2014,$62.19
META,02-04-2014,$62.75
META,02-03-2014,$61.48
META,01-31-2014,$62.57
META,01-30-2014,$61.08
META,01-29-2014,$53.53
META,01-28-2014,$55.14
META,01-27-2014,$53.55
META,01-24-2014,$54.45
META,01-23-2014,$56.63
META,01-22-2014,$57.51
META,01-21-2014,$58.51
META,01-17-2014,$56.30
META,01-16-2014,$57.19
META,01-15-2014,$57.60
META,01-14-2014,$57.74
META,01-13-2014,$55.91
META,01-10-2014,$57.94
META,01-09-2014,$57.22
META,01-08-2014,$58.23
META,01-07-2014,$57.92
META,01-06-2014,$57.20
META,01-03-2014,$54.557
META,01-02-2014,$54.71
META,12-31-2013,$54.649
META,12-30-2013,$53.71
META,12-27-2013,$55.44
META,12-26-2013,$57.73
META,12-24-2013,$57.96
META,12-23-2013,$57.77
META,12-20-2013,$55.12
META,12-19-2013,$55.05
META,12-18-2013,$55.57
META,12-17-2013,$54.86
META,12-16-2013,$53.81
META,12-13-2013,$53.32
META,12-12-2013,$51.83
META,12-11-2013,$49.38
META,12-10-2013,$50.245
META,12-09-2013,$48.84
META,12-06-2013,$47.94
META,12-05-2013,$48.34
META,12-04-2013,$48.62
META,12-03-2013,$46.73
META,12-02-2013,$47.06
META,11-29-2013,$47.01
META,11-27-2013,$46.49
META,11-26-2013,$45.89
META,11-25-2013,$44.82
META,11-22-2013,$46.23
META,11-21-2013,$46.70
META,11-20-2013,$46.43
META,11-19-2013,$46.36
META,11-18-2013,$45.83
META,11-15-2013,$49.01
META,11-14-2013,$48.99
META,11-13-2013,$48.71
META,11-12-2013,$46.605
META,11-11-2013,$46.20
META,11-08-2013,$47.53
META,11-07-2013,$47.56
META,11-06-2013,$49.12
META,11-05-2013,$50.105
META,11-04-2013,$48.22
META,11-01-2013,$49.75
META,10-31-2013,$50.205
META,10-30-2013,$49.01
META,10-29-2013,$49.395
META,10-28-2013,$50.229
META,10-25-2013,$51.95
META,10-24-2013,$52.445
META,10-23-2013,$51.90
META,10-22-2013,$52.675
META,10-21-2013,$53.85
META,10-18-2013,$54.22
META,10-17-2013,$52.21
META,10-16-2013,$51.135
META,10-15-2013,$49.50
META,10-14-2013,$49.51
META,10-11-2013,$49.11
META,10-10-2013,$49.05
META,10-09-2013,$46.77
META,10-08-2013,$47.14
META,10-07-2013,$50.515
META,10-04-2013,$51.04
META,10-03-2013,$49.183
META,10-02-2013,$50.28
META,10-01-2013,$50.42
META,09-30-2013,$50.23
META,09-27-2013,$51.24
META,09-26-2013,$50.39
META,09-25-2013,$49.46
META,09-24-2013,$48.45
META,09-23-2013,$47.19
META,09-20-2013,$47.49
META,09-19-2013,$45.98
META,09-18-2013,$45.23
META,09-17-2013,$45.07
META,09-16-2013,$42.51
META,09-13-2013,$44.31
META,09-12-2013,$44.75
META,09-11-2013,$45.04
META,09-10-2013,$43.60
META,09-09-2013,$44.04
META,09-06-2013,$43.95
META,09-05-2013,$42.66
META,09-04-2013,$41.78
META,09-03-2013,$41.87
META,08-30-2013,$41.294
META,08-29-2013,$41.28
META,08-28-2013,$40.548
META,08-27-2013,$39.64
META,08-26-2013,$41.34
META,08-23-2013,$40.55
META,08-22-2013,$38.55
META,08-21-2013,$38.32
META,08-20-2013,$38.41
META,08-19-2013,$37.81
META,08-16-2013,$37.08
META,08-15-2013,$36.56
META,08-14-2013,$36.65
META,08-13-2013,$37.019
META,08-12-2013,$38.22
META,08-09-2013,$38.50
META,08-08-2013,$38.54
META,08-07-2013,$38.87
META,08-06-2013,$38.55
META,08-05-2013,$39.189
META,08-02-2013,$38.05
